NREGION;CODIGO;NNROVIV;NHOGAR;PONDERA;C1_P01;C1_P02;C1_P03;C1_P04;C1_P05;C1_P06;C1_P07;C1_P08;C1_P09;C1_P10;C1_P11;C1_P12;C1_P13;DefMaterial_Paredes;DefMaterial_Pisos;DefGas;CantPob_0_17;CantPob_5_17;Act_5_17;ClimaEduHogar;Hog_AUH;Hog_AyudasProgSoc
1;1224;1;1;1444;2;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1225;1;1;755;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1226;1;1;922;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1227;1;1;1379;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1229;1;1;882;2;1;1;3;3;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1231;1;1;32;2;1;1;3;3;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1237;1;1;18;2;1;1;4;4;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1240;1;1;633;2;1;1;2;2;1;1;1;1;1;1;1;5;0;0;0;0;0; ; ; ; 
1;1247;1;1;996;2;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1252;1;1;432;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1256;1;1;702;2;1;1;1;1;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1259;1;1;321;2;1;1;3;3;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1262;1;1;383;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1265;1;1;384;2;1;1;8;8;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1272;1;1;1448;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1273;1;1;557;2;1;1;3;3;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1274;1;1;888;1;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1275;1;1;1338;1;1;1;5;5;1;1;1;1;1;1;1;2;0;0;0;2;2;0;3;2;2
1;1276;1;1;502;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1277;1;1;742;2;1;1;3;3;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1278;1;1;743;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1279;1;1;710;2;1;1;3;3;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1280;1;1;420;2;1;1;3;3;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1281;1;1;1617;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1338;1;1;1163;1;1;1;2;2;1;1;1;1;1;2;1;1;0;0;0;0;0; ; ; ; 
1;1339;1;1;1134;1;4;2;1;1;1;1;3;1;1;2;1;1;1;0;1;0;0; ; ; ; 
1;1340;1;1;1106;1;1;1;2;2;3;5;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1341;1;1;1250;1;1;2;2;2;1;1;3;1;1;1;1;1;0;0;1;0;0; ; ; ; 
1;1342;1;1;1075;1;1;1;3;3;1;2;3;1;1;3;1;1;0;0;1;0;0; ; ; ; 
1;1343;1;1;1075;1;1;2;4;4;1;1;3;1;1;2;1;1;0;0;1;0;0; ; ; ; 
1;1344;1;1;486;2;1;1;4;4;1;1;3;1;1;1;1;3;0;0;1;0;0; ; ; ; 
1;1345;1;1;543;1;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1346;1;1;511;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1347;1;1;362;1;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1348;1;1;576;2;1;1;4;4;1;1;1;1;1;1;1;5;0;0;0;0;0; ; ; ; 
1;1349;1;1;755;2;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1350;1;1;793;2;1;1;5;5;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1351;1;1;507;2;1;1;4;4;1;1;9;9; ; ; ;9;0;0;99;0;0; ; ; ; 
1;1352;1;1;494;1;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1353;1;1;557;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1354;1;1;738;1;1;1;2;2;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1355;1;1;2272;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1356;1;1;1908;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1357;1;1;1600;2;1;1;5;5;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1358;1;1;596;2;1;1;2;2;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1359;1;1;571;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1360;1;1;518;9;9;9;9;9;9;9;9;9; ; ; ;9;99;99;99;0;0; ; ; ; 
1;1361;1;1;726;2;1;1;4;4;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1362;1;1;531;2;1;1;4;4;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1363;1;1;1190;2;1;1;4;4;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1364;1;1;470;2;1;1;3;3;1;1;1;1;9;1;1;1;0;0;0;0;0; ; ; ; 
1;1365;1;1;658;2;1;1;3;3;1;1;5;1;1;1;1;3;0;0;99;0;0; ; ; ; 
1;1366;1;1;658;2;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1367;1;1;619;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1368;1;1;282;1;1;1;3;3;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1369;1;1;936;2;1;1;3;3;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1370;1;1;935;2;1;1;3;3;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1371;1;1;1262;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1372;1;1;1279;1;1;1;3;3;1;2;1;1;1;3;1;1;0;0;0;0;0; ; ; ; 
1;1373;1;1;1336;1;1;1;3;3;1;2;1;1;1;2;1;1;0;0;0;0;0; ; ; ; 
1;1374;1;1;1169;2;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1375;1;1;1297;2;1;1;2;2;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1376;1;1;1278;1;1;1;4;4;1;2;1;1;1;2;1;1;0;0;0;0;0; ; ; ; 
1;1377;1;1;1297;2;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1378;1;1;1059;1;1;1;3;3;1;1;1;1;1;2;1;1;0;0;0;0;0; ; ; ; 
1;1379;1;1;378;1;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1380;1;1;1224;1;1;1;4;4;1;2;1;1;1;3;1;1;0;0;0;0;0; ; ; ; 
1;1381;1;1;1279;1;1;1;3;3;1;1;1;1;1;2;1;1;0;0;0;0;0; ; ; ; 
1;1382;1;1;1336;1;1;1;3;3;1;2;1;1;1;2;1;1;0;0;0;0;0; ; ; ; 
1;1383;1;1;1155;1;1;1;1;1;1;1;1;1;1;2;1;1;0;0;0;0;0; ; ; ; 
1;1384;1;1;1355;1;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1385;1;1;1355;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1386;1;1;1129;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1416;1;1;371;1;1;1;3;3;1;1;3;1;1;1;1;1;0;0;1;1;1;0;1;2;2
1;1417;1;1;520;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1418;1;1;821;2;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1419;1;1;1023;2;1;2;2;2;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1420;1;1;544;2;1;2;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1421;1;1;1343;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1422;1;1;1087;1;3;1;2;2;1;1;3;1;1;3;1;3;1;0;1;0;0; ; ; ; 
1;1423;1;1;1426;1;1;2;2;2;1;1;5;1;2;3;1;1;0;0;99;0;0; ; ; ; 
